Metadata_CellLine	Metadata_Condition	Metadata_Plate	Metadata_Well	Metadata_Site	Metadata_Nuclei_Site_Count	UMAP0	UMAP1
293T	untreated	slide4	B4	M20	599	-2.9063654	2.1463163
786O	TMEM259 kd6	slide4	A4	M35	190	1.6514369	1.3989645
293T	untreated	slide4	B4	M60	979	-2.0174217	1.0027473
293T	untreated	slide4	B4	M5	865	-2.0878193	3.8708835
786O	SARNP kd9	slide4	A3	M16	21	2.4363883	1.5035594
293T	untreated	slide4	B4	M12	858	-2.3102965	-0.91885805
786O	TMEM259 kd5	slide4	B3	M13	136	2.3937953	0.4658309
786O	SARNP kd9	slide4	A3	M28	84	3.3770933	2.625927
293T	untreated	slide4	B4	M41	709	-2.3158007	0.40232313
786O	SARNP kd3	slide4	B2	M57	74	-1.1661876	4.275276
786O	TMEM259 kd6	slide4	A4	M54	188	1.846255	2.5393343
786O	DDX39A kd1	slide4	B1	M20	213	4.51613	-0.44608226
293T	untreated	slide4	B4	M22	795	-1.306061	4.116047
786O	TMEM259 kd6	slide4	A4	M21	237	2.7803876	3.7680516
786O	DDX39A kd4	slide4	A2	M45	147	2.2168202	0.78345644
293T	untreated	slide4	B4	M9	856	-0.46084937	7.596643
786O	DDX39A kd1	slide4	B1	M27	198	4.205215	3.6825738
293T	untreated	slide4	B4	M57	106	-0.33518976	2.4737296
293T	untreated	slide4	B4	M21	788	-2.356807	0.39655477
786O	DDX39A kd1	slide4	B1	M21	207	2.3377886	0.9070769
293T	untreated	slide4	B4	M39	658	-1.3330287	7.26829
293T	untreated	slide4	B4	M61	769	-0.03117859	1.292096
786O	SARNP kd3	slide4	B2	M19	235	2.742334	0.029010246
786O	DDX39A kd4	slide4	A2	M37	96	3.5741827	2.6273975
786O	SARNP kd3	slide4	B2	M39	142	4.235658	2.6575046
786O	TMEM259 kd5	slide4	B3	M21	247	3.1751814	1.2636509
293T	untreated	slide4	B4	M13	726	-0.5433181	3.2848818
293T	untreated	slide4	B4	M38	697	0.13488784	2.288695
786O	SARNP kd3	slide4	B2	M27	196	2.659842	-0.28250274
293T	untreated	slide4	B4	M18	495	-0.25698736	8.119787
293T	untreated	slide4	B4	M15	435	-3.612624	2.779804
786O	TMEM259 kd6	slide4	A4	M42	144	0.22684622	7.5210576
